SUMMARY,DATE,AGENT,server_name
Process : nbrmms is running successfully,2023-01-01 0:00:00,Application,Application_server_416
Filesystem:  / is 75 full,2023-01-01 0:05:10,linux_ix86,linux_ix86_server_51
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 0:10:33,Application,Application_server_221
Process : java is running successfully,2023-01-01 0:15:20,Application,Application_server_154
CHRONY : process is running successfully,2023-01-01 0:20:25,linux_ix86,linux_ix86_server_36
*CP01*nodeagent is missing,2023-01-01 0:25:17,websphere,websphere_server_32
[MAN] Log /webapp/logs/app123/SystemErr.log ParseException: Content is not allowed in prolog,2023-01-01 0:30:27,websphere,websphere_server_51
Total CPU Utilization = 50%,2023-01-01 0:35:29,Application,Application_server_106
Filesystem:  / is 75 full,2023-01-01 0:40:32,linux_ix86,linux_ix86_server_90
Process : java is running successfully,2023-01-01 0:45:19,Application,Application_server_510
Service: enstart64 is Stopped,2023-01-01 0:50:19,ms_win,ms_win_server_10
Process : P84xConnectorService is running successfully,2023-01-01 0:55:42,Application,Application_server_146
Process : nbsvcmon is running successfully,2023-01-01 1:00:52,Application,Application_server_333
Service: syslog-ng Agent is running,2023-01-01 1:05:37,ms_win,ms_win_server_24
Process : P84xConnectorService is running successfully,2023-01-01 1:10:30,Application,Application_server_252
[MAN] Log /webapp/configs/WebSphere/AppServer/logs/AppSrv012/SystemOut.log java.lang.OutOfMemoryError: Java heap space,2023-01-01 1:15:11,websphere,websphere_server_43
Process : java is running successfully,2023-01-01 1:20:11,Application,Application_server_507
[MAN] Log /var/log/messages kernel: sd Unrecovered read error.,2023-01-01 1:25:24,linux_ix86,linux_ix86_server_108
[MAN] The PERC1 battery is medium.,2023-01-01 1:30:25,dell-idrac,dell-idrac_server_29
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 1:34:54,Application,Application_server_310
Total CPU Utilization = 65%,2023-01-01 1:39:57,Application,Application_server_331
system: Processor Queue Length is 0,2023-01-01 1:44:58,ms_win,ms_win_server_83
Process : java is running successfully,2023-01-01 1:50:26,Application,Application_server_245
*CP01*nodeagent is missing,2023-01-01 1:55:16,websphere,websphere_server_40
Service: enstart64 is running,2023-01-01 2:00:31,ms_win,ms_win_server_35
Process : nbrmms is running successfully,2023-01-01 2:05:20,Application,Application_server_134
Process : nbsvcmon is running successfully,2023-01-01 2:10:18,Application,Application_server_447
Filesystem:  / is 80 full,2023-01-01 2:15:29,linux_ix86,linux_ix86_server_146
Process : nbsl is running successfully,2023-01-01 2:20:55,Application,Application_server_259
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(vxattachd) - monitor procedure did not complete within the expected time.,2023-01-01 2:25:48,linux_ix86,linux_ix86_server_17
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(cvm_vxconfigd) - successfully complete.,2023-01-01 2:30:51,linux_ix86,linux_ix86_server_74
Process : java is running successfully,2023-01-01 2:35:34,Application,Application_server_520
CHRONY : process is running successfully,2023-01-01 2:41:15,linux_ix86,linux_ix86_server_74
Process : TaskRoutingService is running successfully,2023-01-01 2:46:21,Application,Application_server_130
Total CPU Utilization = 75%,2023-01-01 2:51:18,Application,Application_server_243
CHRONY : process is running successfully,2023-01-01 2:55:55,linux_ix86,linux_ix86_server_2
Process : nbrmms is running successfully,2023-01-01 3:00:58,Application,Application_server_389
Service: masvc is running,2023-01-01 3:05:59,ms_win,ms_win_server_55
Process : nbsvcmon is running successfully,2023-01-01 3:11:00,Application,Application_server_127
splunkd is running successfully,2023-01-01 3:16:07,Application,Application_server_224
splunkd is running successfully,2023-01-01 3:21:11,Application,Application_server_258
system: Processor Queue Length is 0,2023-01-01 3:25:37,ms_win,ms_win_server_44
Process : nbrmms is running successfully,2023-01-01 3:30:51,Application,Application_server_474
[MAN] The PERC1 battery is high.,2023-01-01 3:35:35,dell-idrac,dell-idrac_server_46
Process : java is running successfully,2023-01-01 3:41:00,Application,Application_server_455
Current memory usage percentage is 50%,2023-01-01 3:46:16,Application,Application_server_379
Process : nbrmms is running successfully,2023-01-01 3:51:24,Application,Application_server_512
system: Processor Queue Length is 0,2023-01-01 3:56:06,ms_win,ms_win_server_20
Current memory usage percentage is 110%,2023-01-01 4:00:11,Application,Application_server_281
Current memory usage percentage is 70%,2023-01-01 4:05:25,Application,Application_server_150
splunkd is running successfully,2023-01-01 4:10:22,Application,Application_server_389
Process : java is running successfully,2023-01-01 4:15:23,Application,Application_server_232
"[MAN] Log /var/log/messages temperature above threshold, cpu clock throttled (total events = 1083)",2023-01-01 4:20:30,linux_ix86,linux_ix86_server_112
